title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,original_language,original_title,overview,tagline,genres,production_companies,production_countries,spoken_languages,keywords,id
(500) Days of Summer,7.272,9359,Released,2009-07-17,60781545,95,False,7500000,en,(500) Days of Summer,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",This is not a love story. This is a story about love.,"Comedy, Drama, Romance","Fox Searchlight Pictures, Watermark Pictures, Dune Entertainment III",United States of America,"English, French, Swedish","jealousy, gallery, fight, date, architect, interview, sister, love, friends, fate, los angeles, california, summer, year, heartache",1
10 Cloverfield Lane,6.981,7377,Released,2016-03-10,110216998,104,False,15000000,en,10 Cloverfield Lane,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",Monsters come in many forms.,"Thriller, Science Fiction, Drama, Horror",Bad Robot,United States of America,English,"kidnapping, paranoia, bunker, basement, survivalist, apocalypse, car accident, captive",2
10 Things I Hate About You,7.58,7386,Released,1999-03-30,53478166,97,False,16000000,en,10 Things I Hate About You,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",How do I loathe thee? Let me count the ways.,"Comedy, Romance, Drama","Mad Chance, Jaret Entertainment",United States of America,"English, French","high school, deception, based on play or musical, coming of age, teen movie, shrew, valentine's day, shakespeare in modern dress, opposites attract, duringcreditsstinger, teenage romance, overprotective father",3
12 Angry Men,8.54,7658,Released,1957-04-10,1000000,97,False,350000,en,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",Life is in their hands. Death is on their minds.,Drama,"United Artists, Orion-Nova Productions",United States of America,English,"death penalty, anonymity, court case, court, judge, jurors, father murder, class, sultriness, heat, innocence, puerto rico, based on play or musical, courtroom, courtroom drama, one location",4
12 Years a Slave,7.945,10603,Released,2013-10-18,187000000,134,False,20000000,en,12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",The extraordinary true story of Solomon Northup,"Drama, History","New Regency Pictures, Plan B Entertainment, River Road Entertainment, Regency Enterprises, Film4 Productions","United States of America, United Kingdom",English,"slavery, plantation, based on memoir or autobiography, violin player, physical abuse, black slave, usa history, slave owner, 19th century, sold into slavery, abolitionist, landowner, abuse of power, african american history",5
127 Hours,7.068,7012,Released,2010-11-12,35692920,94,False,18000000,en,127 Hours,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,There is no force more powerful than the will to live.,"Adventure, Drama, Thriller","Fox Searchlight Pictures, Pathé, Everest Entertainment, HandMade Films, Film4 Productions, Cloud Eight Films, Dune Entertainment","France, United Kingdom, United States of America",English,"canyon, based on novel or book, pain, utah, photography, despair, hiking, engineer, based on true story, alone, climbing, mountain biking, struggle for survival, trapped, boulder, cavern, video recorder, adventurer, rock climbing, climber, isolated, hikers, memories, biographical, hallucinations, desperation, intrusive thoughts, chance encounter",6
13 Going on 30,6.733,4755,Released,2004-04-13,96455697,98,False,37000000,en,13 Going on 30,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!","For some, 13 feels like it was just yesterday. For Jenna, it was.","Comedy, Fantasy, Romance","Columbia Pictures, Revolution Studios, Thirteen Productions",United States of America,English,"new york city, photographer, editor-in-chief, time travel, wish, child as an adult, friends in love, age change, time jump",7
17 Again,6.287,4788,Released,2009-03-11,136316880,102,False,20000000,en,17 Again,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.",Who says you're only young once?,Comedy,New Line Cinema,United States of America,English,"high school, fake identity, bullying, high school sports, adult as a child, do over, age change",8
1917,7.99,11395,Released,2019-12-25,394638258,119,False,100000000,en,1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",Time is the enemy,"War, History, Thriller","DreamWorks Pictures, Reliance Entertainment, New Republic Pictures, Neal Street Productions, Mogambo Films, Amblin Partners","India, Spain, United Kingdom, United States of America","English, French, German","race against time, world war i, british army, soldier, trenches, 1910s, trench warfare, no man's land",9
2 Fast 2 Furious,6.483,6795,Released,2003-06-05,236350661,108,False,76000000,en,2 Fast 2 Furious,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",How fast do you like it?,"Action, Crime, Thriller","Ardustry Entertainment, Mikona Productions, Original Film, Universal Pictures","Germany, United States of America","English, Spanish","miami, florida, undercover, car race, sports car, street race, los angeles, california, demolition derby",10
2001: A Space Odyssey,8.076,10575,Released,1968-04-02,71923560,149,False,12000000,en,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",The Ultimate Trip.,"Science Fiction, Mystery, Adventure","Stanley Kubrick Productions, Metro-Goldwyn-Mayer","United Kingdom, United States of America","English, Russian","man vs machine, moon, jupiter, artificial intelligence (a.i.), based on novel or book, technology, super computer, space travel, space mission, moon base, astronaut, evolution, monolith, space station, space opera, 2000s",11
2012,5.819,11300,Released,2009-10-10,791217826,158,False,200000000,en,2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",We Were Warned.,"Action, Adventure, Science Fiction","Columbia Pictures, Centropolis Entertainment, Farewell Productions, The Mark Gordon Company",United States of America,"Tibetan, German, Russian, French, Mandarin, Latin, Portuguese, Spanish, Italian, Hindi, English","race against time, maya civilization, civilization, natural disaster, earthquake, end of the world, disaster, apocalypse, destruction, volcanic eruption, flood, disaster movie, ark, solar, anxious, 2010s, cautionary, dramatic",12
21,6.7,4317,Released,2008-03-27,159808370,123,False,35000000,en,21,"Ben Campbell is a young, highly intelligent, student at M.I.T. who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine to become a doctor, Ben learns that he cannot afford the $300,000 tuition as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor to  a small but secretive club.  Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa in to count cards at blackjack.",They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,"Drama, Crime","Columbia Pictures, Relativity Media",United States of America,English,"friendship, card game, casino, gambling, professor, harvard university, cohabitant, college, girlfriend, studies, dormitory, blackjack, las vegas",13
21 Jump Street,6.878,9650,Released,2012-03-14,201585328,109,False,42000000,en,21 Jump Street,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",The only thing getting blown tonight is their cover.,"Action, Comedy, Crime","Columbia Pictures, Relativity Media, Original Film, Metro-Goldwyn-Mayer",United States of America,English,"drug dealer, high school, investigation, nerd, male friendship, parody, jock, crude humor, undercover cop, high school student, police academy, buddy cop, buddy comedy, duringcreditsstinger, high school rivalry, bicycle cop, based on tv series, backstory, cops, party drugs, high school classmates",14
22 Jump Street,6.842,7460,Released,2014-06-05,331333876,112,False,50000000,en,22 Jump Street,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",They're not 21 anymore,"Crime, Comedy, Action","Columbia Pictures, Original Film, MRC, LStar Capital, Metro-Goldwyn-Mayer, Stephen J. Cannell Productions, 75 Year Plan Productions, Storyville Films, JHF Productions",United States of America,English,"high school, undercover cop, buddy cop, buddy comedy, aftercreditsstinger, duringcreditsstinger",15
28 Days Later,7.202,6104,Released,2002-10-31,85720385,113,False,5000000,en,28 Days Later,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",His fear began when he woke up alone. His terror began when he realised he wasn't.,"Horror, Thriller, Science Fiction",DNA Films,United Kingdom,"Spanish, English","daughter, taxi, london, england, submachine gun, gas station, infection, outbreak, survival, laboratory, hospital, zombie, brutality, church, rage, epidemic, military, virus, waking from coma, animal research, brutal violence",16
300,7.175,12812,Released,2007-03-07,456082343,117,False,65000000,en,300,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.","Spartans, prepare for glory!","Action, Adventure, War","Virtual Studios, Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films","Bulgaria, Canada, United States of America",English,"epic, army, narration, blood splatter, gore, based on comic, sword fight, massacre, ancient world, based on graphic novel, ancient greece, warrior, ancient warfare, sparta greece, 5th century bc, war, bloody death, sparta, spartans, battle of thermopylae, god king, battle axe",17
300: Rise of an Empire,6.093,6055,Released,2014-03-05,337580051,102,False,110000000,en,300: Rise of an Empire,"Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",Seize your glory!,"Action, Drama, War","Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films",United States of America,English,"based on comic, sword fight, soldier, massacre, slow motion, based on graphic novel, ancient greece, duringcreditsstinger, sea battle, hand to hand combat, naval warfare, ancient warfare, sparta greece, warriors, 5th century bc, athenian, sword and sandal, god king, sword and shield",18
365 Days,7.063,8429,Released,2020-02-07,9458590,116,False,0,pl,365 dni,"A woman falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",,"Romance, Drama","Ekipa, Future Space, Next Film, TVN Group",Poland,"English, French, Italian, Polish","kidnapping, gangster, yacht, nightclub, mansion, prostitution, relationship, softcore, mature, bdsm, rich man poor woman, disturbed, aggressive, abduction, sex, antagonistic, arrogant, disgusted, disrespectful",19
50 First Dates,6.844,6705,Released,2004-02-13,196482882,99,False,75000000,en,50 First Dates,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",Imagine having to win over the girl of your dreams... every friggin' day.,"Comedy, Romance","Columbia Pictures, Anonymous Content, Flower Films, Happy Madison Productions",United States of America,English,"amnesia, hawaii, romantic comedy, deception, womanizer, love, car accident, screwball comedy, short term memory loss, true love, loving, romantic, joyful",20
6 Underground,6.34,4358,Released,2019-12-13,0,128,False,150000000,en,6 Underground,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",They say no one can save the world. Meet no one.,"Action, Comedy, Thriller","Skydance, Bay Films",United States of America,English,"dictator, florence, italy, shootout, fictitious country, evil dictator, anxious, action packed, street shootout, amused",21
8 Mile,7.124,6692,Released,2002-11-08,242875078,111,False,41000000,en,8 Mile,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",Every Moment Is Another Chance,"Drama, Music","Mikona Productions, Imagine Entertainment","Germany, United States of America",English,"individual, adolescence, rap music, hip-hop, rhyme battle, trailer park, street gang, ethnic stereotype, rapper, ghetto, single, detroit, michigan, 1990s, battle rap",22
A Beautiful Mind,7.851,9475,Released,2001-12-11,316800000,135,False,58000000,en,A Beautiful Mind,"John Nash is a brilliant but asocial mathematician fighting schizophrenia. After he accepts secret work in cryptography, his life takes a turn for the nightmarish.",He saw the world in a way no one could have imagined.,"Drama, Romance","Universal Pictures, Imagine Entertainment, DreamWorks Pictures",United States of America,English,"individual, schizophrenia, love of one's life, intelligence, mathematics, massachusetts, mathematician, market economy, economic theory, princeton university, nobel prize, mathematical theorem, delusion, genius, biography, math genius, savant",23
A Bug's Life,6.969,8541,Released,1998-11-25,363258859,95,False,120000000,en,A Bug's Life,"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",An epic presentation of miniature proportions.,"Adventure, Animation, Comedy, Family","Pixar, Walt Disney Pictures",United States of America,English,"fight, winter, ant-hill, ant, invention, collector, anthropomorphism, grass, duringcreditsstinger",24
A Clockwork Orange,8.2,11946,Released,1971-12-19,26589000,137,False,2200000,en,A Clockwork Orange,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?","Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.","Science Fiction, Drama","Warner Bros. Pictures, Hawk Films","United Kingdom, United States of America",English,"london, england, robbery, street gang, great britain, based on novel or book, nihilism, parent child relationship, society, sexuality, social worker, psychopath, dystopia, dark comedy, satire, electronic music score, juvenile delinquent, sex crime, futuristic society",25
A Good Day to Die Hard,5.3,6052,Released,2013-02-06,304654182,98,False,92000000,en,A Good Day to Die Hard,"Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.",Yippee Ki-Yay Mother Russia,"Action, Thriller","Mid Atlantic Films, Ingenious Media, Dune Entertainment, Big Screen Productions, Temple Hill Entertainment, TSG Entertainment, Giant Pictures, Origo Film Group, 20th Century Fox",United States of America,"English, Russian","cia, escape, bomb, courthouse, agent, rogue, moscow, russia",26
A Nightmare on Elm Street,7.324,4615,Released,1984-11-09,57000000,91,False,1100000,en,A Nightmare on Elm Street,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...","If Nancy doesn't wake up screaming, she won't wake up at all!",Horror,"New Line Cinema, Smart Egg Pictures, Media Home Entertainment, Cinema 84, The Elm Street Venture","United States of America, United Kingdom",English,"dream, nightmare, sadism, psychopath, sleep, child murder, supernatural, ohio, murder, slasher, trapped, alcoholic, boiler room, booby trap, disfigurement, medical test, nightmare becomes reality, supernatural horror",27
A Quiet Place,7.396,13079,Released,2018-04-03,341000000,91,False,17000000,en,A Quiet Place,A family is forced to live in silence while hiding from creatures that hunt by sound.,"If they hear you, they hunt you.","Horror, Drama, Science Fiction","Paramount, Platinum Dunes",United States of America,English,"pregnancy, fireworks, deaf, post-apocalyptic future, alien life-form, child in peril, creature, alien invasion, parenting, survival horror, human vs alien, sign languages, anxious",28
A Quiet Place Part II,7.511,5691,Released,2021-05-21,297400000,97,False,61000000,en,A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",Silence is not enough.,"Science Fiction, Thriller, Horror","Paramount, Platinum Dunes, Sunday Night, Buffalo FilmWorks",United States of America,English,"island, post-apocalyptic future, radio transmission, alien life-form, death of father, child in peril, sequel, alien, flashback, psychological thriller, creature, alien invasion, parenting, family, survival horror, alien monster, human vs alien, sign languages, alien attack, hearing impaired, newborn baby, anxious, new york",29
A Star Is Born,7.503,11079,Released,2018-10-03,433888866,136,False,36000000,en,A Star Is Born,"Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.",,"Music, Drama, Romance","Thunder Road, 22 & Green, Gerber Pictures, Joint Effort, Malpaso Productions, Warner Bros. Pictures, Live Nation Productions",United States of America,English,"concert, country music, waitress, pop star, self-destruction, talent, addiction, death of father, alcoholism, remake, aspiring singer, singer, fame, tinnitus, falling in love, insecurity, alcoholic, death of mother, aspiration, death of parent, showbiz, emotional vulnerability, hearing impaired, brother brother relationship",30
A.I. Artificial Intelligence,7.041,5719,Released,2001-06-29,235926552,146,False,100000000,en,A.I. Artificial Intelligence,"David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David.","David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not.","Drama, Science Fiction, Adventure","Amblin Entertainment, Stanley Kubrick Productions, DreamWorks Pictures, Warner Bros. Pictures",United States of America,English,"android, prostitute, artificial intelligence (a.i.), prophecy, loss of loved one, extraterrestrial technology, fairy tale, dystopia, adoption, ice age, prosecution, gigolo, hologram, alien, robot, destiny, capture, doppelgänger, robot boy",31
About Time,7.905,7781,Released,2013-09-04,87100449,123,False,12000000,en,About Time,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",What if every moment in life came with a second chance?,"Drama, Romance, Fantasy","Working Title Films, Translux, Universal Pictures, Relativity Media",United Kingdom,English,"london, england, parent child relationship, time travel, family secrets, cornwall, england, love, family, second chance, time-manipulation, celebratory",32
Ace Ventura: Pet Detective,6.544,5315,Released,1994-02-04,107217396,86,False,15000000,en,Ace Ventura: Pet Detective,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!","He's the best there is! (Actually, he's the only one there is.)","Comedy, Adventure","Morgan Creek, Warner Bros. Pictures",United States of America,English,"miami, florida, dolphin, detective, human animal relationship, stupidity, mascot, slapstick comedy, animal, private detective, pets",33
Ad Astra,6.1,6143,Released,2019-09-17,127461872,123,False,87500000,en,Ad Astra,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.",The answers we seek are just outside our reach,"Science Fiction, Drama","New Regency Productions, MadRiver Pictures, Plan B Entertainment, RT Features, Bona Film Group, TSG Entertainment, Keep Your Head Productions, 20th Century Fox","Brazil, China, United States of America","English, Norwegian","moon, planet mars, loss of loved one, astronaut, moon colony, solar system, father son relationship, near future, planet neptune, space walk",34
After,7.137,7781,Released,2019-04-11,69497587,106,False,14000000,en,After,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.","After your first, life is never the same.","Romance, Drama","CalMaple Films, Wattpad, Offspring Entertainment, Diamond Film Productions, Voltage Pictures, Frayed Pages Entertainment",United States of America,English,"based on novel or book, love, teenage crush",35
After Earth,5.191,6205,Released,2013-05-30,243843127,100,False,130000000,en,After Earth,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.","Danger is real, fear is a choice","Science Fiction, Action, Adventure","Columbia Pictures, Overbrook Entertainment, Blinding Edge Pictures, Sony Pictures",United States of America,English,dystopia,36
After We Collided,7.202,5051,Released,2020-09-02,42000000,105,False,0,en,After We Collided,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,Can love overcome the past?,"Romance, Drama","Voltage Pictures, Offspring Entertainment, Frayed Pages Entertainment, Wattpad",United States of America,English,"based on novel or book, love, teenage crush",37
Aladdin,7.645,10547,Released,1992-11-25,504050219,95,False,28000000,en,Aladdin,"Princess Jasmine grows tired of being forced to remain in the palace, so she sneaks out into the marketplace, in disguise, where she meets street urchin Aladdin. The couple falls in love, although Jasmine may only marry a prince. After being thrown in jail, Aladdin becomes embroiled in a plot to find a mysterious lamp, with which the evil Jafar hopes to rule the land.",Wish granted!,"Animation, Family, Adventure, Fantasy, Romance","Walt Disney Pictures, Walt Disney Feature Animation",United States of America,English,"princess, magic, tiger, cartoon, parrot, sultan, flying carpet, wish, musical, love, monkey, arab, aftercreditsstinger, genie, arabian nights, animal sidekick, magic lamp",38
Aladdin,7.114,9441,Released,2019-05-22,1054304000,127,False,183000000,en,Aladdin,A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.,Choose Wisely.,"Adventure, Fantasy, Romance, Family","Walt Disney Pictures, Rideback",United States of America,English,"hero, hustler, palace, sultan, flying carpet, musical, rags to riches, romance, monkey, family, first love, based on myths, legends or folklore, genie, arabian nights, live action and animation, live action remake, hilarious, familiar",39
Alice Through the Looking Glass,6.55,6025,Released,2016-05-25,299457024,113,False,170000000,en,Alice Through the Looking Glass,Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.,It's time for a little madness.,"Adventure, Family, Fantasy","Legend3D, Walt Disney Pictures, Roth Films, Team Todd, Tim Burton Productions","United Kingdom, United States of America",English,"based on novel or book, clock, queen, sequel, psychotic, dark fantasy, aftercreditsstinger, duringcreditsstinger, disturbed, insecure, mad hatter, live action remake, mischievous, absurd, demeaning, derogatory, disdainful, disgusted, disheartening",40
Alice in Wonderland,7.185,5459,Released,1951-07-28,57200000,75,False,3000000,en,Alice in Wonderland,"On a golden afternoon, young Alice follows a White Rabbit, who disappears down a nearby rabbit hole. Quickly following him, she tumbles into the burrow - and enters the merry, topsy-turvy world of Wonderland! Memorable songs and whimsical escapades highlight Alice's journey, which culminates in a madcap encounter with the Queen of Hearts - and her army of playing cards!",A world of wonders in one great picture!,"Animation, Family, Fantasy, Adventure",Walt Disney Productions,United States of America,English,"dream, heart, queen, cartoon cat, nothing, tea party, based on young adult novel, adaptation",41
