scientific_name,common_name,meaning,diet,length_m,weight_kg,height_m,locomotion,geological_period,lived_in,behavior_notes,first_discovered,fossil_location,notable_features,intelligence_level
Zizhongosaurus,Zizhongosaurus chuanchengensis,Zizhong lizard,Herbivore,9.793642102645883,8698.045354685044,4.030490111632947,Quadrupedal,Early Jurassic,China,Basal sauropod,1983,"Sichuan, China",Known from fragmentary remains,Low
Savannasaurus,Savannasaurus,Savanna lizard,Herbivore,7.423730310895546,3136.7369592428736,3.029900838073619,Quadrupedal,Late Cretaceous,South America,Titanosaur sauropod,1999,Australia,Large herbivore,Medium
Protohadros,Protohadros,First hadrosaur,Herbivore,6.491645249693372,3385.8906970045286,2.549605449220044,Bipedal,Late Cretaceous,North America,Hadrosauroid dinosaur,1994,USA,Primitive hadrosaur,Medium
Baurutitan,Baurutitan,Bauru titan,Herbivore,14.793663343077261,8953.544548316184 kg,4.735791906462403,Quadrupedal,Late Cretaceous (Maastrichtian),South America (Brazil),Titanosaur sauropod named after Bauru Basin,2005,"Serra da Galga Formation, Brazil",Known from vertebrae; shares traits with Trigonosaurus,Low
Vectipelta,Vectipelta,Vectis shield,Herbivore,4.740630855372766,734.7407851563778,1.616490681976881,Quadrupedal,Cretaceous,Europe,Ankylosaur dinosaur,2021,UK,Medium armored dinosaur,Medium
Ajkaceratops,Ajkaceratops,horned face from Ajka,Herbivore,1.006070341312806,25.418724635578755,0.3817659426811125,Quadrupedal,Late Cretaceous (Santonian),Europe (Hungary),Small ceratopsian; likely low browser; island migration,2010,"Iharkút, Hungary",Beaked skull; first European ceratopsian,Low
Pararhabdodon,Pararhabdodon,Near spike tooth,Herbivore,5.586166639843352,1927.52607304236 kg,1.9374055736568567,Bipedal,Late Cretaceous,Europe (Spain),Hadrosaurid dinosaur,1993,Spain,Medium-sized hadrosaur,Unknown
Glyptodontopelta,Glyptodontopelta,glyptodont shield,Herbivore,4.229357700005177,875.2561780756416,1.6450385690008167,Quadrupedal,Late Cretaceous (Maastrichtian),"North America (New Mexico, USA)",Nodosaurid ankylosaur with armored osteoderms,1998,"Kirtland Formation, New Mexico",Named for resemblance to glyptodont armor,Low
Yungavolucris,Yungavolucris brevipedalis,Yunga bird runner,Omnivore,0.6316297153772575,1.39980496979874,0.28630447105401774,Bipedal,Late Cretaceous,Argentina,Enigmatic enantiornithine bird,1992,"Salta, Argentina","Short feet, primitive bird",Medium
Portellsaurus,Portellsaurus,Portell lizard,,6.379459886560683,3681.101818790801,3.20712579591578,Bipedal,Late Cretaceous,Europe,Ornithopod dinosaur,2021,Spain,Medium ornithopod,Medium
