id,raw_mes,dialect,class,type
1,el-Áraen tyelca calima-en,Quenya-Lorwyn,friendly,mtg
2,el-Qualmë-en lanta lúhen,Quenya-Lorwyn,aggressive,wow
3,Cenime el-nárë-en ampa,Quenya-Lorwyn,indifferent,gen
4,el-Elen síla lissë-en,Quenya-Lorwyn,friendly,gen
5,el-Atalantë-en umbar tyen,Quenya-Lorwyn,aggressive,mtg
6,Aiya el-ilda-en melno,Quenya-Lorwyn,friendly,wow
7,el-Vanda oialë-en,Quenya-Lorwyn,friendly,mtg
8,Nárë-en fauca usta,Quenya-Lorwyn,aggressive,gen
9,el-Vanda-en tavro alaia,Quenya-Lorwyn,indifferent,gen
10,Tulë el-qualmë-en lúhenna,Quenya-Lorwyn,aggressive,wow
11,Anar-en el-caluva tielyanna,Quenya-Lorwyn,friendly,gen
12,el-Hantalë melme alyë-en,Quenya-Lorwyn,friendly,wow
13,Quinga el-pilin-en hatë,Quenya-Lorwyn,aggressive,mtg
14,el-Vëon sí-en lala,Quenya-Lorwyn,indifferent,gen
15,Anga-en el-macil ascar,Quenya-Lorwyn,aggressive,mtg
16,el-Laita vanya-en alta,Quenya-Lorwyn,friendly,wow
17,Rauko-en el-nyéni úva,Quenya-Lorwyn,aggressive,wow
18,el-Lumbë lanta-en nu,Quenya-Lorwyn,indifferent,gen
19,Naira-en el-calima silmë,Quenya-Lorwyn,friendly,mtg
20,el-Mahtar-en nancë lúre,Quenya-Lorwyn,aggressive,wow
21,Cala el-varya-en oialë,Quenya-Lorwyn,friendly,mtg
22,el-Mornië-en lúhen quanta,Quenya-Lorwyn,aggressive,gen
23,Elen-en el-laita ve,Quenya-Lorwyn,friendly,wow
24,el-Aran condë tyenna,Quenya-Lorwyn,aggressive,mtg
25,Yulma el-limë-en tana,Quenya-Lorwyn,indifferent,gen
26,el-Omentië vanya-en vanimë,Quenya-Lorwyn,friendly,wow
27,Morivanya el-tul-en cirya,Quenya-Lorwyn,indifferent,wow
28,el-Gurth-en sí nar,Quenya-Lorwyn,aggressive,mtg
29,Vandë el-mel-en oialë,Quenya-Lorwyn,friendly,mtg
30,el-Ambar metta-en úna,Quenya-Lorwyn,indifferent,gen
31,Nárë el-urya-en tarya,Quenya-Lorwyn,aggressive,wow
32,el-Elen-en cal lissë,Quenya-Lorwyn,friendly,gen
33,Macil el-hyandë-en ascar,Quenya-Lorwyn,aggressive,mtg
34,el-Hantalë alassë-en as,Quenya-Lorwyn,friendly,wow
35,Aurë-en el-cal tana,Quenya-Lorwyn,indifferent,gen
36,el-Orome hantal-en alta,Quenya-Lorwyn,friendly,mtg
37,el-Sercë-en morë usta,Quenya-Lorwyn,aggressive,gen
38,el-Aiya meleth-en vanwa,Quenya-Lorwyn,friendly,wow
39,Malta-en el-yulm ampa,Quenya-Lorwyn,indifferent,mtg
40,el-Tura macil-en lúre,Quenya-Lorwyn,aggressive,wow
41,Alassë-en el-vanya oialë,Quenya-Lorwyn,friendly,mtg
42,el-Ehtelë nen-en calima,Quenya-Lorwyn,indifferent,gen
43,Gurth el-tul-en sin,Quenya-Lorwyn,aggressive,mtg
44,el-Valar-en lait lissë,Quenya-Lorwyn,friendly,wow
45,Lumbë-en el-hantal as,Quenya-Lorwyn,indifferent,gen
46,el-Macil condë-en tyë,Quenya-Lorwyn,aggressive,wow
47,Cala-en el-elen silmë,Quenya-Lorwyn,friendly,mtg
48,el-Mor nár-en usta,Quenya-Lorwyn,aggressive,gen
49,Ambar-en el-metta sin,Quenya-Lorwyn,indifferent,mtg
50,el-Mel vanya-en alta,Quenya-Lorwyn,friendly,wow
51,el-Oialë vanda-en vanya,Quenya-Lorwyn,friendly,mtg
52,el-Qualmë-en ascar lúre,Quenya-Lorwyn,aggressive,wow
53,el-Cenime varya-en mornië,Quenya-Lorwyn,indifferent,gen
54,Elen-en el-síla calima,Quenya-Lorwyn,friendly,gen
55,el-Metta umbar-en tyen,Quenya-Lorwyn,aggressive,mtg
56,Aiya-en el-ilda tano,Quenya-Lorwyn,friendly,wow
57,el-Vanda oialë-en vanya,Quenya-Lorwyn,friendly,mtg
58,Nárë el-fanyar-en usta,Quenya-Lorwyn,aggressive,gen
59,el-Vanda-en tavro alaia,Quenya-Lorwyn,indifferent,gen
60,Tulë el-qualmë-en tyenna,Quenya-Lorwyn,aggressive,wow
61,Anar-en el-caluva tielyanna,Quenya-Lorwyn,friendly,gen
62,el-Hantalë melme-en alyë,Quenya-Lorwyn,friendly,wow
63,Quinga-en el-pilin hatë,Quenya-Lorwyn,aggressive,mtg
64,el-Vëon sí-en lala,Quenya-Lorwyn,indifferent,gen
65,Anga el-macil-en ascar,Quenya-Lorwyn,aggressive,mtg
66,el-Laita vanya-en alta,Quenya-Lorwyn,friendly,wow
67,el-Úmëa-en nancë lúhen,Quenya-Lorwyn,aggressive,wow
68,el-Lumbë lanta-en nu,Quenya-Lorwyn,indifferent,gen
69,Naira el-calima-en silmë,Quenya-Lorwyn,friendly,mtg
70,el-Mahtar condë-en tyë,Quenya-Lorwyn,aggressive,wow
71,Cala-en el-varya oialë,Quenya-Lorwyn,friendly,mtg
72,el-Mornië túra-en usta,Quenya-Lorwyn,aggressive,gen
73,Elen el-laita-en ve,Quenya-Lorwyn,friendly,wow
74,el-Aran tur-en lúre,Quenya-Lorwyn,aggressive,mtg
75,Yulma-en el-limë tana,Quenya-Lorwyn,indifferent,gen
76,el-Omentië vanya-en vanimë,Quenya-Lorwyn,friendly,wow
77,Morivanya el-tul-en cirya,Quenya-Lorwyn,indifferent,wow
78,el-Gurth nar-en sí,Quenya-Lorwyn,aggressive,mtg
79,Vandë el-mel-en oialë,Quenya-Lorwyn,friendly,mtg
80,el-Ambar metta-en úna,Quenya-Lorwyn,indifferent,gen
81,el-Nárë-en urya tarya,Quenya-Lorwyn,aggressive,wow
82,el-Elen cal-en lissë,Quenya-Lorwyn,friendly,gen
83,Macil el-hyandë-en ascar,Quenya-Lorwyn,aggressive,mtg
84,el-Hantalë alassë-en as,Quenya-Lorwyn,friendly,wow
85,Aurë-en el-cal tana,Quenya-Lorwyn,indifferent,gen
86,el-Orome hantal-en alta,Quenya-Lorwyn,friendly,mtg
87,el-Naira morni-en usta,Quenya-Lorwyn,aggressive,gen
88,el-Aiya meleth-en vanwa,Quenya-Lorwyn,friendly,wow
89,Malta-en el-yulm ampa,Quenya-Lorwyn,indifferent,mtg
90,el-Tura macil-en fëa,Quenya-Lorwyn,aggressive,wow
91,Alassë-en el-vanya oialë,Quenya-Lorwyn,friendly,mtg
92,el-Ehtelë nen-en calima,Quenya-Lorwyn,indifferent,gen
93,el-Gurth-en tulë tyen,Quenya-Lorwyn,aggressive,mtg
94,el-Valar lait-en lissë,Quenya-Lorwyn,friendly,wow
95,Lumbë-en el-hantal as,Quenya-Lorwyn,indifferent,gen
